['2017-08-29 16:30 Tue', '11945.88', '12123.47', '12031.12', '12032.32', '11868.84', '12951.54', '10174.92', '35880492', '', 'DAX:IND']
['2017-08-30 16:30 Wed', '12002.47', '11945.88', '12026.45', '12040.82', '11989.61', '12951.54', '10174.92', '100866400', '', 'DAX:IND']
['2017-08-31 16:30 Thu', '12055.84', '12002.47', '12098.57', '12115.55', '12034.18', '12951.54', '10174.92', '59025972', '', 'DAX:IND']
['2017-09-01 16:30 Fri', '12142.64', '12055.84', '12101.15', '12191.23', '12085.31', '12951.54', '10174.92', '80803232', '', 'DAX:IND']
['2017-09-04 16:30 Mon', '12102.21', '12142.64', '12051.80', '12138.41', '12050.53', '12951.54', '10174.92', '75906928', '', 'DAX:IND']
['2017-09-05 16:30 Tue', '12123.71', '12102.21', '12125.42', '12210.25', '12100.26', '12951.54', '10174.92', '45046736', '', 'DAX:IND']
['2017-09-06 16:30 Wed', '12214.54', '12123.71', '12071.90', '12260.76', '12066.84', '12951.54', '10174.92', '67683712', '', 'DAX:IND']
['2017-09-07 16:30 Thu', '12296.63', '12214.54', '12284.14', '12363.60', '12265.51', '12951.54', '10174.92', '85600784', '', 'DAX:IND']
['2017-09-08 16:30 Fri', '12303.98', '12296.63', '12261.81', '12321.61', '12245.33', '12951.54', '10174.92', '96596296', '', 'DAX:IND']
['2017-09-11 17:11 Mon', '12475.24', '12303.98', '12381.52', '12481.77', '12381.33', '12951.54', '10174.92', '63365980', '', 'DAX:IND']
['2017-09-12 16:30 Tue', '12524.77', '12475.24', '12527.44', '12558.03', '12512.59', '12951.54', '10174.92', '79293304', '', 'DAX:IND']
['2017-09-13 16:30 Wed', '12553.57', '12524.77', '12489.25', '12565.85', '12489.25', '12951.54', '10174.92', '87717784', '', 'DAX:IND']
['2017-09-14 16:30 Thu', '12540.45', '12553.57', '12524.12', '12552.16', '12499.55', '12951.54', '10174.92', '82355104', '', 'DAX:IND']
['2017-09-15 16:30 Fri', '12518.81', '12540.45', '12525.36', '12561.35', '12506.94', '12951.54', '10174.92', '85606656', '', 'DAX:IND']
['2017-09-18 16:40 Mon', '12559.39', '12518.81', '12593.55', '12613.56', '12537.07', '12951.54', '10174.92', '197944160', '', 'DAX:IND']
['2017-09-19 16:30 Tue', '12561.79', '12559.39', '12556.46', '12566.20', '12527.90', '12951.54', '10174.92', '60151056', '', 'DAX:IND']
['2017-09-20 16:30 Wed', '12569.17', '12561.79', '12550.92', '12593.25', '12518.22', '12951.54', '10174.92', '76516416', '', 'DAX:IND']
['2017-09-21 16:30 Thu', '12600.03', '12569.17', '12601.95', '12621.28', '12582.04', '12951.54', '10174.92', '104832840', '', 'DAX:IND']
['2017-09-22 16:54 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '103930256', '', 'DAX:IND']
['2017-09-25 16:13 Mon', '12594.81', '12592.35', '12573.35', '12633.06', '12564.84', '12951.54', '10174.92', '81068', '', 'DAX:IND']
['2017-09-27 16:15 Wed', '12657.41', '12605.20', '12630.40', '12685.19', '12625.55', '12951.54', '10174.92', '75452456', '', 'DAX:IND']
['2017-09-28 16:15 Thu', '12704.65', '12657.41', '12682.37', '12708.70', '12666.03', '12951.54', '10174.92', '82220904', '', 'DAX:IND']
['2017-09-29 16:15 Fri', '12828.86', '12704.65', '12725.87', '12828.86', '12722.38', '12951.54', '10174.92', '87574720', '', 'DAX:IND']
['2017-10-02 16:15 Mon', '12902.65', '12828.86', '12866.27', '12902.65', '12849.59', '12951.54', '10174.92', '108145120', '', 'DAX:IND']
['2017-10-03 16:15 Tue', '12902.65', '12828.86', '12866.27', '12902.65', '12849.59', '12951.54', '10174.92', '70138864', '', 'DAX:IND']
['2017-10-04 16:15 Wed', '12970.52', '12902.65', '12955.89', '12976.24', '12893.75', '12976.24', '10174.92', '74924312', '', 'DAX:IND']
['2017-10-05 16:15 Thu', '12968.05', '12970.52', '12950.18', '12969.40', '12933.56', '12976.24', '10174.92', '118792448', '', 'DAX:IND']
['2017-10-06 16:15 Fri', '12955.94', '12968.05', '12979.34', '12993.53', '12941.15', '12993.53', '10174.92', '80961272', '', 'DAX:IND']
