['2017-08-29 16:30 Tue', '7337.43', '7401.46', '7401.46', '7401.62', '7289.20', '7598.99', '6654.48', '513504736', '', 'UKX:IND']
['2017-08-30 16:30 Wed', '7365.26', '7337.43', '7337.43', '7381.33', '7337.43', '7598.99', '6654.48', '758180288', '', 'UKX:IND']
['2017-08-31 16:30 Thu', '7430.62', '7365.26', '7365.26', '7443.68', '7365.01', '7598.99', '6654.48', '686753344', '', 'UKX:IND']
['2017-09-01 16:30 Fri', '7438.50', '7430.62', '7430.62', '7460.52', '7430.06', '7598.99', '6654.48', '785358272', '', 'UKX:IND']
['2017-09-04 16:30 Mon', '7411.47', '7438.50', '7438.50', '7438.50', '7404.05', '7598.99', '6654.48', '553108416', '', 'UKX:IND']
['2017-09-05 16:30 Tue', '7372.92', '7411.47', '7411.47', '7437.51', '7369.58', '7598.99', '6654.48', '401169088', '', 'UKX:IND']
['2017-09-06 16:30 Wed', '7354.13', '7372.92', '7372.92', '7372.92', '7322.42', '7598.99', '6654.48', '565798272', '', 'UKX:IND']
['2017-09-07 16:30 Thu', '7396.98', '7354.13', '7354.13', '7412.68', '7348.38', '7598.99', '6654.48', '697428800', '', 'UKX:IND']
['2017-09-08 16:30 Fri', '7377.60', '7396.98', '7396.98', '7396.98', '7358.42', '7598.99', '6654.48', '663681792', '', 'UKX:IND']
['2017-09-11 17:11 Mon', '7413.59', '7377.60', '7377.60', '7434.07', '7377.60', '7598.99', '6654.48', '619109120', '', 'UKX:IND']
['2017-09-12 16:30 Tue', '7400.69', '7413.59', '7413.59', '7435.84', '7386.98', '7598.99', '6654.48', '633951424', '', 'UKX:IND']
['2017-09-13 16:30 Wed', '7379.70', '7400.69', '7400.69', '7401.30', '7336.23', '7598.99', '6654.82', '769729856', '', 'UKX:IND']
['2017-09-14 16:30 Thu', '7295.39', '7379.70', '7379.70', '7390.70', '7287.73', '7598.99', '6654.82', '870284480', '', 'UKX:IND']
['2017-09-15 16:30 Fri', '7215.47', '7295.39', '7295.39', '7295.39', '7196.58', '7598.99', '6654.82', '1259529856', '', 'UKX:IND']
['2017-09-18 16:40 Mon', '7253.28', '7215.47', '7215.47', '7257.45', '7215.47', '7598.99', '6676.56', '1460055040', '', 'UKX:IND']
['2017-09-19 16:30 Tue', '7275.25', '7253.28', '7253.28', '7285.67', '7243.59', '7598.99', '6676.56', '734344256', '', 'UKX:IND']
['2017-09-20 16:30 Wed', '7271.95', '7275.25', '7275.25', '7289.93', '7249.58', '7598.99', '6676.56', '797457600', '', 'UKX:IND']
['2017-09-21 16:30 Thu', '7263.90', '7271.95', '7271.95', '7289.16', '7260.05', '7598.99', '6676.56', '794244608', '', 'UKX:IND']
['2017-09-22 16:54 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '811191488', '', 'UKX:IND']
['2017-09-25 16:13 Mon', '7301.29', '7310.64', '7310.64', '7312.45', '7272.49', '7598.99', '6676.56', '644904960', '', 'UKX:IND']
['2017-09-27 16:15 Wed', '7313.51', '7285.74', '7285.74', '7327.50', '7285.74', '7598.99', '6676.56', '708602368', '', 'UKX:IND']
['2017-09-28 16:15 Thu', '7322.82', '7313.51', '7313.51', '7323.33', '7289.75', '7598.99', '6676.56', '858030976', '', 'UKX:IND']
['2017-09-29 16:15 Fri', '7372.76', '7322.82', '7322.82', '7382.67', '7321.64', '7598.99', '6676.56', '749901504', '', 'UKX:IND']
['2017-10-02 16:15 Mon', '7438.84', '7372.76', '7372.76', '7438.84', '7372.73', '7598.99', '6676.56', '750914816', '', 'UKX:IND']
['2017-10-03 16:15 Tue', '7468.11', '7438.84', '7438.84', '7469.82', '7426.67', '7598.99', '6676.56', '891135616', '', 'UKX:IND']
['2017-10-04 16:15 Wed', '7467.58', '7468.11', '7468.11', '7476.33', '7456.61', '7598.99', '6676.56', '718824320', '', 'UKX:IND']
['2017-10-05 16:15 Thu', '7507.99', '7467.58', '7467.58', '7507.99', '7464.40', '7598.99', '6676.56', '945274816', '', 'UKX:IND']
['2017-10-06 16:15 Fri', '7522.87', '7507.99', '7507.99', '7527.72', '7507.99', '7598.99', '6676.56', '782484736', '', 'UKX:IND']
