['2017-08-29 13:45 Tue', '2.066', '2.082', '2.092', '2.105', '2.062', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-08-30 13:45 Wed', '2.078', '2.066', '2.076', '2.087', '2.062', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-08-31 13:45 Thu', '2.045', '2.078', '2.085', '2.092', '2.029', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-01 13:45 Fri', '2.077', '2.045', '2.041', '2.089', '2.019', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-04 13:45 Mon', '2.038', '2.077', '2.065', '2.078', '2.037', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-05 13:45 Tue', '1.999', '2.038', '2.046', '2.061', '1.984', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-06 13:45 Wed', '2.027', '1.999', '1.999', '2.028', '1.988', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-07 13:45 Thu', '1.924', '2.027', '2.029', '2.053', '1.899', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-08 13:45 Fri', '1.959', '1.924', '1.907', '1.981', '1.901', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-11 13:45 Mon', '1.968', '1.959', '1.988', '2.147', '1.934', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-12 13:45 Tue', '2.025', '1.968', '1.969', '2.032', '1.968', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-13 13:45 Wed', '2.040', '2.025', '2.018', '2.056', '2.008', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-14 13:45 Thu', '2.059', '2.040', '2.053', '2.074', '2.034', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-15 13:45 Fri', '2.078', '2.059', '2.064', '2.084', '2.048', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-19 13:45 Tue', '2.048', '2.072', '2.075', '2.080', '2.026', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-20 13:45 Wed', '2.071', '2.048', '2.055', '2.076', '2.027', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-21 13:45 Thu', '2.110', '2.071', '2.078', '2.137', '2.078', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 13:45 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
