['2017-08-29 13:45 Tue', '19362.55', '19449.90', '19319.11', '19371.90', '19280.02', '20318.11', '16111.81', '', '', 'NIK']
['2017-08-30 13:45 Wed', '19506.54', '19362.55', '19480.98', '19538.23', '19435.10', '20318.11', '16111.81', '', '', 'NIK']
['2017-08-31 13:45 Thu', '19646.24', '19506.54', '19591.32', '19687.99', '19583.11', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-01 13:45 Fri', '19691.47', '19646.24', '19733.57', '19735.96', '19620.07', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-04 13:45 Mon', '19508.25', '19691.47', '19615.96', '19628.40', '19479.40', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-05 13:45 Tue', '19385.81', '19508.25', '19533.38', '19542.78', '19354.59', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-06 13:45 Wed', '19357.97', '19385.81', '19286.06', '19371.38', '19254.67', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-07 13:45 Thu', '19396.52', '19357.97', '19433.44', '19482.72', '19365.75', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-08 13:45 Fri', '19274.82', '19396.52', '19297.96', '19357.49', '19239.52', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-11 13:45 Mon', '19545.77', '19274.82', '19441.39', '19567.03', '19437.14', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-12 13:45 Tue', '19776.62', '19545.77', '19736.14', '19792.06', '19718.80', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-13 13:45 Wed', '19865.82', '19776.62', '19873.69', '19888.84', '19845.02', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-14 13:45 Thu', '19807.44', '19865.82', '19860.37', '19918.39', '19793.85', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-15 13:45 Fri', '19909.50', '19807.44', '19793.80', '19933.40', '19787.65', '20318.11', '16111.81', '', '', 'NIK']
['2017-09-19 13:45 Tue', '20299.38', '19909.50', '20128.18', '20320.78', '20122.00', '20320.78', '16111.81', '', '', 'NIK']
['2017-09-20 13:45 Wed', '20310.46', '20299.38', '20301.33', '20339.37', '20272.82', '20339.37', '16111.81', '', '', 'NIK']
['2017-09-21 13:45 Thu', '20347.48', '20310.46', '20456.50', '20481.27', '20332.69', '20481.27', '16111.81', '', '', 'NIK']
['2017-09-22 13:45 Fri', '20296.45', '20347.48', '20413.61', '20417.07', '20249.24', '20481.27', '16111.81', '', '', 'NIK']
['2017-09-25 13:45 Mon', '20397.58', '20296.45', '20439.43', '20454.29', '20367.03', '20481.27', '16111.81', '', '', 'NIK']
['2017-09-27 13:45 Wed', '20267.05', '20330.19', '20269.82', '20278.09', '20213.66', '20481.27', '16111.81', '', '', 'NIK']
['2017-09-28 13:45 Thu', '20363.11', '20267.05', '20398.63', '20399.87', '20299.68', '20481.27', '16111.81', '', '', 'NIK']
['2017-09-29 13:45 Fri', '20356.28', '20363.11', '20315.34', '20370.33', '20285.06', '20481.27', '16111.81', '', '', 'NIK']
