['2017-09-22 19:22 Fri', '1.355', '1.367', '1.366', '', '', '', '', '0', '', 'GUKG10:IND']
['2017-09-22 19:27 Fri', '1.355', '1.367', '1.366', '', '', '', '', '0', '', 'GUKG10:IND']
['2017-09-22 19:28 Fri', '1.355', '1.367', '1.366', '', '', '', '', '0', '', 'GUKG10:IND']
['2017-09-22 19:30 Fri', '1.355', '1.367', '1.366', '', '', '', '', '0', '', 'GUKG10:IND']
['2017-09-22 19:31 Fri', '1.355', '1.367', '1.366', '', '', '', '', '0', '', 'GUKG10:IND']
['2017-09-22 19:36 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-22 19:40 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-22 19:42 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-22 19:48 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-22 19:50 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-22 19:52 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-22 19:54 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-22 19:56 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
