['2017-09-22 19:22 Fri', '1297.30', '1291.20', '', '', '', '', '', '', '', 'XAUUSD:CUR']
['2017-09-22 19:27 Fri', '1297.30', '1291.20', '1291.20', '', '', '', '', '', '', 'XAUUSD:CUR']
['2017-09-22 19:28 Fri', '1297.30', '1291.20', '1291.20', '', '', '', '', '', '', 'XAUUSD:CUR']
['2017-09-22 19:30 Fri', '1297.30', '1291.20', '', '', '', '', '', '', '', 'XAUUSD:CUR']
['2017-09-22 19:31 Fri', '1297.30', '1291.20', '1291.20', '', '', '', '', '', '', 'XAUUSD:CUR']
['2017-09-22 19:36 Fri', '1297.30', '1291.20', '1291.20', '1298.79', '1289.79', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-22 19:40 Fri', '1297.30', '1291.20', '1291.20', '1298.79', '1289.79', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-22 19:42 Fri', '1297.30', '1291.20', '1291.20', '1298.79', '1289.79', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-22 19:48 Fri', '1297.30', '1291.20', '', '', '', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-22 19:50 Fri', '1297.30', '1291.20', '1291.20', '1298.79', '1289.79', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-22 19:52 Fri', '1297.30', '1291.20', '1291.20', '1298.79', '1289.79', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-22 19:54 Fri', '1297.30', '1291.20', '1291.20', '1298.79', '1289.79', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-22 19:56 Fri', '1297.30', '1291.20', '1291.20', '1298.79', '1289.79', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
