['2017-09-22 19:22 Fri', '-0.109', '0.099', '0.105', '', '', '', '', '0', '', 'GJGB5:IND']
['2017-09-22 19:27 Fri', '-0.109', '0.099', '0.105', '', '', '', '', '0', '', 'GJGB5:IND']
['2017-09-22 19:28 Fri', '-0.109', '0.099', '0.105', '', '', '', '', '0', '', 'GJGB5:IND']
['2017-09-22 19:30 Fri', '-0.109', '-0.099', '-0.105', '', '', '', '', '0', '', 'GJGB5:IND']
['2017-09-22 19:31 Fri', '-0.109', '-0.099', '-0.105', '', '', '', '', '0', '', 'GJGB5:IND']
['2017-09-22 19:36 Fri', '-0.109', '-0.099', '-0.105', '-0.102', '-0.116', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
['2017-09-22 19:40 Fri', '-0.109', '-0.099', '-0.105', '-0.102', '-0.116', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
['2017-09-22 19:42 Fri', '-0.109', '-0.099', '-0.105', '-0.102', '-0.116', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
['2017-09-22 19:48 Fri', '-0.109', '-0.099', '-0.105', '-0.102', '-0.116', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
['2017-09-22 19:50 Fri', '-0.109', '-0.099', '-0.105', '-0.102', '-0.116', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
['2017-09-22 19:52 Fri', '-0.109', '-0.099', '-0.105', '-0.102', '-0.116', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
['2017-09-22 19:54 Fri', '-0.109', '-0.099', '-0.105', '-0.102', '-0.116', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
['2017-09-22 19:56 Fri', '-0.109', '-0.099', '-0.105', '-0.102', '-0.116', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
